title,company,location,how_old,link
Pessoa Desenvolvedora Python,openlabs,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=753a8de4950fc4cd&fccid=221db006ee5627ae&vjs=3
Desenvolvedor Python,Locus Custom Software,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=4cfc3cf79d16906b&fccid=0c389d94a3baff35&vjs=3
Desenvolvedor(a) Python,Não encontrada,,Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=fa7d7e40ae3102b9&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python,Jobbol,"Home office in São Paulo, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=3bcece8498bab458&fccid=c64032edc49f7500&vjs=3
Estágio de Machine Learning,A3Data,Home office,Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=e00bb6406aae590d&fccid=da9a0f944ccb7f3b&vjs=3
Estágio em Desenvolvimento em Python,Seazone,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=825d6522af82ebcf&fccid=e326532d41ab2aca&vjs=3
Pessoa Desenvolvedora Blockchain,Não encontrada,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=9eb01f8cbb8d9dd6&fccid=dd616958bd9ddc12&vjs=3
Jovem Aprendiz - Financeiro,Intelipost,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=22e45c349b8035cc&fccid=1cb1d80825ef7887&vjs=3
Engenheiro(a) de Software Python,InventCloud,"Campinas, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=aa9fe740a7fc8940&fccid=b46be9faf8e5f03d&vjs=3
Dev Python/Django,Join Tecnologia & Design,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=853e9afaca3737ca&fccid=a623d38851ccc739&vjs=3
Desenvolvedor Python Junior - Vila Olímpia,Jobbol,"São Paulo, SP",Postedhá 18 dias,https://br.indeed.com/rc/clk?jk=10af770316c8d48e&fccid=c64032edc49f7500&vjs=3
[Squad] Desenvolvedor(a) | PHP,Objective (Brazil),Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=c66d8a95838e163f&fccid=2028524bfee6fd41&vjs=3
BACKEND DEVELOPER (PYTHON),Serasa,"Blumenau, SC",Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=187ece1efe0e0af5&fccid=e5c86fb795b26050&vjs=3
Data Gowth Hacker,Digio,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=407b7f7875faaea1&fccid=dec45784a5e2d28c&vjs=3
Estagiári@ em People Analytics,Gringo,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=9c90b24e89b42b20&fccid=a0902a1ef5fa6aa3&vjs=3
Pessoa Desenvolvedora NodeJS,Não encontrada,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=0a9ae1807661897c&fccid=dd616958bd9ddc12&vjs=3
Pessoa Desenvolvedora de Jogos III | Tapps Games,Tapps Games,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=25930622a338588f&fccid=87cdacb62c7f92a5&vjs=3
Analista de Suporte Zabbix Júnior,Icaro Tech,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=ef067eceabb3a26d&fccid=bff4b84c722c1fe5&vjs=3
Desenvolvedor(a) Python,CWI Software,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d90bfbea44f6324c&fccid=a64651178efd73c0&vjs=3
ESTÁGIO EM DESENVOLVIMENTO MOBILE,Positivo Tecnologia,"Home office in Curitiba, PR",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=e06848c98b9edc30&fccid=0d0653c8d098c271&vjs=3
Desenvolvedor(a) Back-end Python,MESHA TECNOLOGIA,"Hybrid remote in Maceió, AL",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cb804a87afbd04ba&fccid=b40edd3944d0c8d7&vjs=3
Mid Backend Developer Python - (100% Remoto),invillia,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e7fe34b49231a615&fccid=f185a6210cec2dc0&vjs=3
BANCO DE TALENTOS - PYTHON,Órama,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c48f20019d9d3267&fccid=704967faf7b662a6&vjs=3
Desenvolvedor Python – Porto Alegre – RS,BuscarVagas,,Postedhá 10 dias,https://br.indeed.com/rc/clk?jk=d1a42b168f4060dd&fccid=73abce787a9b9ca5&vjs=3
Desenvolvedor(a) Front End,Não encontrada,Home office,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=76f84307215161eb&fccid=dd616958bd9ddc12&vjs=3
Estágio - Programador(a) Python Front End (PyQt + PySide),Não encontrada,Home office,Postedhá 18 dias,https://br.indeed.com/rc/clk?jk=64389f912a98af52&fccid=dd616958bd9ddc12&vjs=3
Analista de Crédito Júnior - Credenciamento,Appmax,Home office,Postedhá 29 dias,https://br.indeed.com/rc/clk?jk=177e9ef2e5ca36a4&fccid=bf52a541fc5edf24&vjs=3
ENGENHEIRO BACK-END PYTHON,ROIT,Home office,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=11df664802ddb71f&fccid=881947d7f3319cbd&vjs=3
Desenvolvedor Python,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in São Paulo, SP",Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=db9cde55ed0611ac&fccid=141861a74ade1c07&vjs=3
Desenvolvedor Python - Centro,Jobbol,"Itajubá, MG",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=097c2e129310132e&fccid=c64032edc49f7500&vjs=3
Analista Desenvolvedor Python,Shopee,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=7ac5e47a52506d01&fccid=0b476c4a7add47fe&vjs=3
Desenvolvedor (a) Back-end Python Pleno,Liber Capital,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=ab2c5a9d625784e1&fccid=1a2fb53435c12483&vjs=3
Pessoa Desenvolvedora Python,Venha para a NeuralMed,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d881a49f3071a214&fccid=67f074b0eda9108e&vjs=3
Desenvolvedor(a) Python (remoto),GeekHunter,"Home office in Palmas, TO",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f0d4795b92e6f113&fccid=9ba8dec3013c0c90&vjs=3
iClinic | Pessoa Desenvolvedora Backend Pleno - Python,iClinic | Grupo Afya,Home office,Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=25e54b73e3da79ba&fccid=dd616958bd9ddc12&vjs=3
Analista Inteligência de Mercado Júnior,GOL Linhas Aéreas,Home office,Postedhá 30+ dias,https://br.indeed.com/company/GOL-Linhas-A%C3%A9ras/jobs/Analista-Intelig%C3%AAncia-Mercado-J%C3%BAnior-7ae38e438a9fbab6?fccid=4abbea6f16383dfd&vjs=3
Desenvolvedor(a) de Software - Desktop,Nelogica,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=70922b3ce38cbaec&fccid=77ba1b798934a18f&vjs=3
Pessoa desenvolvedora Back-End Python,Pmweb,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0ca68a438acafb4e&fccid=d5d176aad6a537a0&vjs=3
Analista de Redes | Telecom,Globo,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=01debd71df34ab96&fccid=69cd436cef8c3dbe&vjs=3
[RACCOON.MONKS] Estágio Data Science,raccoon.monks,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=d43ce37f1fc700f8&fccid=fd8162ad6a9d5817&vjs=3
Pesquisador I,Federação das Indústrias de Santa Catarina (FIESC),"Florianópolis, SC",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=82d74b1f07c8b16e&fccid=d8b2e43fc560fc83&vjs=3
Pessoa Desenvolvedora Python Pleno - (100% Remoto),invilliabr,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c336e49f6c33174d&fccid=287017f8abf88756&vjs=3
Desenvolvedor(a) Back-End – (Python ) Pleno,ONOVOLAB TALENTS,"São Carlos, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1dcaaa28631f3748&fccid=7abfc9653f7ef32d&vjs=3
